1,1.15,34,27
2,0.49,45,34
3,0.00,44,36
4,0.03,44,33
5,0.00,46,33
6,0.00,55,37
7,0.15,49,33
8,0.00,38,25
9,0.00,34,24
10,0.00,38,25
11,0.00,45,32
12,0.14,44,35
13,1.56,47,36
14,0.00,51,39
15,0.00,45,36
16,0.00,42,27
17,0.00,49,31
18,0.00,42,38
19,0.19,38,33
20,0.54,42,31
21,0.00,54,40
22,0.79,57,43
23,0.00,52,38
24,0.00,41,29
25,0.00,47,30
26,0.65,35,28
27,0.36,43,33
28,0.00,45,32
29,0.00,40,30
30,0.00,41,28
31,0.17,40,36
32,0.00,53,37
33,0.00,53,36
34,0.00,51,37
35,0.00,62,37
36,0.00,43,33
37,0.00,46,33
38,0.00,53,33
39,0.00,64,41
40,0.00,73,51
41,0.00,82,51
42,0.49,74,55
43,0.00,60,47
44,0.63,47,41
45,0.00,59,44
46,0.00,63,47
47,0.02,71,55
48,0.01,59,51
49,0.05,71,55
50,0.00,55,41
51,0.00,53,41
52,0.00,69,44
53,0.00,66,46
54,0.00,67,50
55,0.04,57,52
56,0.00,68,51
57,0.00,69,47
58,0.00,72,49
59,0.00,66,49
60,0.00,69,46
61,0.00,74,52
62,3.02,63,55
63,0.50,68,54
64,0.01,79,59
65,0.00,58,45
66,0.00,61,42
67,0.00,69,52
68,0.00,79,62
69,0.00,72,58
70,0.00,79,58
71,0.00,86,68
72,0.00,78,59
73,1.81,80,64
74,0.30,65,45
75,0.52,68,56
76,0.00,82,58
77,0.00,90,72
78,0.00,90,75
79,0.87,78,66
80,0.00,75,57
81,0.00,74,58
82,0.13,70,59
83,4.16,63,59
84,1.38,70,62
85,0.09,80,64
86,0.00,76,65
87,1.26,69,55
88,0.38,72,53
89,0.01,84,69
90,0.20,84,64
91,0.00,77,59
92,0.00,80,62
93,0.00,82,64
94,0.00,92,74
95,0.00,91,73
96,0.05,85,74
97,0.24,86,73
98,0.00,85,73
99,0.84,77,72
100,0.08,82,72
101,0.53,83,73
102,0.00,90,76
103,0.22,89,73
104,0.23,88,74
105,0.00,85,75
106,0.00,84,76
107,0.25,77,68
108,0.00,94,78
109,0.00,94,77
110,0.00,97,79
111,0.00,98,81
112,0.00,96,83
113,0.06,86,75
114,0.31,87,73
115,0.00,83,68
116,0.01,68,64
117,0.00,83,65
118,0.01,85,69
119,0.00,83,67
120,0.00,83,67
121,0.65,76,66
122,0.00,83,67
123,0.00,78,62
124,0.00,82,64
125,0.00,80,70
126,0.46,81,70
127,0.05,85,74
128,0.05,82,70
129,0.85,77,68
130,0.00,74,61
131,0.00,78,59
132,0.00,82,64
133,0.00,79,66
134,0.00,88,68
135,0.00,90,72
136,0.25,78,71
137,0.00,82,71
138,0.04,84,68
139,0.01,87,71
140,0.43,86,71
141,0.00,80,71
142,0.00,85,70
143,0.03,82,68
144,0.00,82,65
145,0.00,80,64
146,0.00,72,57
147,0.00,73,57
148,0.01,87,68
149,0.00,96,77
150,1.60,87,70
151,0.06,77,59
152,0.03,73,56
153,0.00,65,50
154,0.00,72,51
155,0.00,78,55
156,0.00,79,60
157,0.00,66,50
158,0.00,73,47
159,0.00,73,52
160,0.00,71,58
161,0.00,69,57
162,0.00,75,56
163,0.00,82,59
164,0.00,83,64
165,0.00,78,63
166,0.00,86,66
167,0.25,76,60
168,0.00,67,54
169,0.00,62,53
170,0.00,65,54
171,0.02,68,60
172,0.00,66,52
173,0.00,72,53
174,0.00,67,56
175,0.02,73,61
176,0.00,68,55
177,0.00,66,50
178,0.00,67,51
179,0.00,55,45
180,0.00,54,41
181,0.00,53,40
182,0.00,61,43
183,0.00,56,44
184,0.00,60,47
185,0.06,66,53
186,0.13,70,59
187,0.00,46,35
188,0.00,55,41
189,0.00,61,49
190,0.13,64,44
191,0.00,50,40
192,0.00,53,43
193,0.03,52,31
194,0.00,39,29
195,0.00,52,33
196,0.00,57,44
197,0.22,65,51
198,0.00,51,36
199,0.00,44,32
200,0.00,52,35
201,0.07,57,51
202,0.00,35,23
203,0.51,47,33
204,1.98,62,35
205,0.00,39,29
206,0.00,49,41
207,0.00,53,38
208,0.00,52,41
209,0.01,60,48
210,0.73,62,37
211,0.30,39,31
212,0.23,37,30
213,0.00,33,27
214,0.00,30,23
215,0.00,35,23
216,0.00,33,25
217,0.19,32,24
218,0.00,37,23
219,0.00,47,30
220,0.00,53,41
221,0.51,64,42
222,0.00,42,26
223,0.00,36,30
224,0.00,40,31
225,0.00,45,23
226,0.00,32,21
227,0.33,33,18
228,0.29,18,9
229,0.36,55,19
230,0.00,19,4
231,0.00,22,9
232,0.00,32,22
233,0.11,37,30
234,0.00,51,37
235,0.38,52,44
236,0.00,47,39
237,0.00,42,36
238,0.00,44,33
239,0.46,31,11
240,0.02,17,5
241,0.00,20,7
242,0.00,20,10
243,0.00,44,21
244,0.00,21,12
245,0.04,23,14
246,0.00,30,16
247,0.00,39,25
248,1.17,43,27
249,0.00,35,22
250,1.43,34,29
251,0.00,32,21
252,0.00,32,24
253,0.00,29,21
254,0.00,26,16
255,0.00,25,13
256,1.78,36,24
257,0.30,40,31
258,0.16,39,26
259,0.26,45,34
260,0.03,51,37
261,0.09,49,36
262,0.00,44,27
263,0.00,33,24
264,0.03,31,20
265,0.00,34,14
266,0.00,24,9
267,0.04,32,17
268,0.00,29,13
269,0.00,39,26
270,0.00,31,16
271,0.00,37,26
272,0.00,51,36
273,0.00,66,45
274,0.35,56,32
275,0.00,32,18
276,0.00,46,22
277,0.00,35,23
278,0.00,43,28
279,0.92,46,32
280,0.00,54,40
281,0.00,51,39
282,0.00,35,21
283,0.00,39,26
284,0.00,36,24
285,0.00,44,22
286,0.04,62,37
287,0.16,56,36
288,0.00,60,39
289,0.00,54,42
290,0.07,67,46
291,0.21,47,40
292,0.52,53,43
293,0.34,64,46
294,0.00,61,45
295,0.00,58,42
296,0.00,75,56
297,0.00,75,59
298,0.71,63,33
299,0.05,49,31
300,0.00,48,36
301,0.00,67,41
302,0.01,71,51
303,0.00,61,44
304,0.00,62,42
305,0.02,63,44
306,0.00,67,45
307,0.03,52,43
308,4.97,52,41
309,0.12,78,51
310,0.00,70,56
311,0.00,70,50
312,0.00,71,52
313,0.00,69,50
314,0.41,59,53
315,0.04,63,55
316,0.00,85,64
317,0.00,73,53
318,0.01,71,52
319,0.15,71,58
320,1.54,68,58
321,0.00,72,49
322,0.00,78,53
323,0.00,74,63
324,0.24,67,59
325,0.91,71,56
326,0.00,86,64
327,0.00,64,54
328,0.00,66,51
329,0.00,75,55
330,0.00,80,59
331,0.12,87,65
332,0.00,82,63
333,0.87,76,61
334,0.00,76,61
335,1.60,73,63
336,0.00,77,65
337,0.02,70,61
338,0.07,73,60
339,1.28,79,65
340,0.00,81,63
341,0.00,89,71
342,0.00,89,76
343,0.15,77,68
344,0.00,79,64
345,0.00,81,65
346,0.00,81,68
347,0.08,85,70
348,0.07,85,70
349,0.00,83,67
350,0.00,84,69
351,0.00,89,72
352,0.96,91,72
353,1.78,87,69
354,0.04,90,72
355,0.39,91,71
356,0.09,88,71
357,0.00,83,72
358,0.00,86,71
359,0.46,84,72
360,1.30,86,72
361,0.00,81,68
362,0.00,81,67
363,0.00,81,64
364,0.00,85,67
365,0.00,86,71
366,0.19,88,72
367,0.00,80,70
368,0.00,82,66
369,0.19,82,68
370,0.00,76,64
371,0.00,80,63
372,0.00,82,68
373,0.00,84,71
374,0.00,84,70
375,0.00,90,71
376,0.00,83,70
377,0.00,83,66
378,0.00,83,65
379,0.00,87,71
380,0.19,79,70
381,0.53,82,68
382,0.00,77,63
383,0.00,73,61
384,0.00,81,63
385,0.00,83,63
386,0.00,84,70
387,0.35,83,65
388,0.06,79,65
389,0.00,88,64
390,0.00,89,70
391,0.00,90,70
392,0.00,82,66
393,0.00,80,61
394,0.00,92,77
395,0.00,86,72
396,0.00,87,69
397,0.00,87,72
398,0.00,75,65
399,0.00,73,63
400,0.00,80,63
401,0.00,83,69
402,0.00,78,62
403,0.00,71,55
404,0.37,70,58
405,0.00,73,55
406,0.00,76,57
407,0.00,66,54
408,0.00,71,55
409,0.00,71,52
410,0.00,71,58
411,0.32,64,57
412,0.00,77,58
413,0.00,79,67
414,0.00,71,62
415,0.02,65,61
416,0.00,70,61
417,0.00,71,56
418,0.00,69,50
419,0.06,71,63
420,0.04,73,62
421,0.00,68,55
422,0.00,64,52
423,0.05,65,52
424,0.00,76,63
425,0.69,77,69
426,1.11,71,61
427,0.00,71,59
428,0.00,60,42
429,0.11,67,55
430,1.51,58,50
431,0.61,53,50
432,0.00,63,51
433,0.00,63,48
434,0.00,72,53
435,0.00,72,51
436,0.00,59,47
437,0.05,55,45
438,0.00,61,39
439,0.00,68,53
440,0.00,64,56
441,0.37,57,48
442,0.00,53,40
443,0.00,61,44
444,0.00,64,49
445,0.00,65,47
446,0.20,48,36
447,0.06,42,35
448,1.54,52,40
449,0.00,45,24
450,0.00,36,22
451,0.00,45,31
452,0.00,37,28
453,0.70,69,53
454,0.00,68,51
455,1.24,51,34
456,0.00,37,29
457,0.09,65,42
458,0.08,43,35
459,0.06,46,41
460,0.00,45,37
461,0.51,44,34
462,0.00,37,24
463,2.54,42,36
464,0.08,40,32
465,0.01,38,31
466,0.00,38,32
467,0.00,48,37
468,0.20,49,38
469,0.02,54,42
470,0.00,42,37
471,0.00,38,31
472,0.04,44,35
473,0.16,46,43
474,0.80,58,44
475,0.00,50,40
476,0.00,44,34
477,0.00,34,28
478,0.00,32,27
479,0.00,42,35
480,0.00,49,21
481,0.05,22,19
482,0.00,23,9
483,0.00,21,8
484,0.07,33,19
485,0.36,39,35
486,0.00,36,17
487,0.00,32,16
488,0.00,35,25
489,0.00,43,20
490,0.00,40,32
491,0.00,36,25
492,0.00,40,31
493,0.00,39,28
494,0.48,31,22
495,0.36,30,20
496,0.00,34,16
497,0.02,36,19
498,0.06,38,19
499,1.02,34,14
500,0.00,26,13
501,0.00,43,24
502,0.00,42,14
503,0.00,27,12
504,0.09,29,25
505,0.01,40,26
506,0.00,34,22
507,0.00,40,16
508,0.00,21,8
509,0.14,27,14
510,0.00,33,19
511,0.00,27,8
512,0.00,19,2
513,0.00,38,8
514,0.00,24,4
515,0.00,37,20
516,0.00,32,21
517,0.00,30,18
518,0.00,39,27
519,0.67,37,22
520,0.25,45,35
521,0.76,40,19
522,0.00,27,12
523,0.01,54,40
524,0.46,53,39
525,0.01,59,44
526,0.00,47,36
527,0.00,43,31
528,0.00,52,35
529,0.02,57,34
530,0.00,39,29
531,0.00,43,29
532,0.40,38,29
533,0.00,38,23
534,0.00,45,26
535,0.05,49,34
536,0.32,62,42
537,0.27,46,39
538,0.00,54,36
539,0.17,47,35
540,0.00,51,32
541,0.00,67,41
542,0.00,63,42
543,0.15,62,42
544,0.00,45,37
545,0.00,43,37
546,0.17,56,39
547,0.00,68,50
548,0.01,65,55
549,0.00,72,51
550,0.00,64,52
551,0.08,71,55
552,1.37,57,46
553,0.20,65,52
554,0.05,69,48
555,0.00,52,41
556,0.00,52,39
557,0.00,62,49
558,0.00,71,50
559,0.00,78,50
560,0.00,67,48
561,0.00,63,49
562,0.00,85,57
563,0.00,85,66
564,0.00,73,59
565,0.00,80,56
566,0.00,82,56
567,0.00,84,70
568,0.00,86,64
569,0.00,70,53
570,0.00,73,50
571,0.00,75,55
572,0.00,75,60
573,0.00,80,59
574,0.00,67,54
575,0.00,62,52
576,0.00,74,55
577,0.00,88,67
578,0.08,85,70
579,0.00,85,70
580,0.00,85,65
581,0.72,58,51
582,0.37,55,50
583,0.00,70,52
584,0.00,65,54
585,0.13,70,55
586,0.06,79,63
587,0.01,83,68
588,0.00,82,65
589,0.00,89,72
590,0.00,88,73
591,0.57,83,64
592,0.27,79,65
593,0.00,82,66
594,0.00,71,64
595,0.00,87,68
596,0.00,87,70
597,0.02,90,75
598,0.00,84,68
599,0.00,83,65
600,0.00,81,69
601,0.00,76,63
602,0.04,82,68
603,0.39,82,69
604,0.00,80,69
605,0.00,83,72
606,0.12,88,75
607,0.00,88,77
608,0.30,79,68
609,0.00,84,72
610,0.00,88,73
611,0.42,82,73
612,0.12,81,72
613,0.00,80,64
614,0.00,81,67
615,0.00,94,82
616,0.00,89,74
617,0.00,85,69
618,0.00,86,68
619,0.00,87,70
620,0.36,86,71
621,0.00,95,75
622,0.00,96,78
623,1.95,87,76
624,0.00,89,72
625,0.00,90,75
626,0.43,89,69
627,0.00,87,72
628,0.00,83,67
629,0.00,84,69
630,0.00,84,70
631,1.17,81,71
632,0.00,85,71
633,0.00,83,67
634,0.00,88,67
635,0.00,95,78
636,0.29,90,73
637,0.00,87,77
638,0.01,86,77
639,0.32,87,71
640,0.00,87,73
641,0.00,90,73
642,0.00,85,67
643,0.00,82,67
644,0.00,82,63
645,0.00,91,76
646,0.00,90,76
647,0.00,91,74
648,0.00,93,74
649,0.00,85,72
650,0.00,97,76
651,0.00,90,76
652,1.58,79,70
653,0.00,81,66
654,0.00,77,59
655,0.00,84,62
656,0.00,88,66
657,0.00,89,68
658,0.00,87,68
659,0.00,73,59
660,0.00,71,62
661,0.00,80,59
662,0.00,82,60
663,0.00,76,63
664,0.00,78,65
665,0.11,83,72
666,1.26,79,59
667,0.09,64,56
668,1.08,57,48
669,0.00,67,52
670,0.00,73,52
671,0.00,73,58
672,0.00,72,59
673,0.89,78,61
674,0.00,77,56
675,0.01,72,61
676,0.00,69,57
677,0.00,64,51
678,0.00,64,53
679,0.00,53,35
680,0.00,70,48
681,0.00,76,57
682,0.00,75,58
683,0.00,65,45
684,0.00,58,46
685,0.00,59,45
686,1.40,69,53
687,0.04,73,57
688,0.00,61,48
689,0.00,63,54
690,0.00,72,48
691,0.00,70,56
692,0.01,71,56
693,0.00,74,66
694,0.00,59,43
695,0.26,57,51
696,0.43,58,49
697,0.01,61,51
698,0.00,58,46
699,0.00,67,51
700,0.00,52,40
701,0.00,58,46
702,1.25,64,57
703,0.00,64,46
704,0.00,44,33
705,0.00,46,32
706,0.00,50,36
707,0.00,64,51
708,0.00,47,33
709,0.33,51,44
710,0.14,57,46
711,0.00,55,44
712,0.00,51,42
713,0.00,54,42
714,0.00,49,41
715,0.00,55,40
716,0.00,60,51
717,0.00,61,50
718,0.33,67,53
719,0.09,68,53
720,0.04,53,46
721,1.21,59,50
722,0.00,57,38
723,0.00,56,39
724,0.19,62,53
725,1.55,64,52
726,0.01,72,63
727,0.03,46,34
728,0.45,46,34
729,0.19,48,38
730,0.03,48,42
731,0.00,36,14
732,0.00,29,11
733,0.00,41,25
734,0.00,46,31
735,0.00,46,31
736,0.00,40,26
737,0.00,44,25
738,0.00,30,22
739,0.00,38,22
740,0.00,51,34
741,0.00,28,16
742,0.00,37,27
743,0.00,36,26
744,0.01,30,21
745,0.00,39,28
746,0.00,48,38
747,0.00,47,34
748,0.00,42,32
749,0.00,41,30
750,0.01,59,44
751,0.00,50,38
752,0.73,59,42
753,0.00,59,44
754,0.53,44,31
755,0.05,39,28
756,0.00,36,27
757,0.01,39,31
758,0.00,31,18
759,0.00,27,15
760,1.01,54,35
761,0.00,39,35
762,0.00,36,27
763,0.00,39,24
764,0.00,52,38
765,0.30,40,35
766,1.22,60,36
767,0.02,61,37
768,0.00,39,27
769,0.05,61,47
770,0.00,52,39
771,0.14,55,29
772,0.00,36,26
773,0.11,39,30
774,0.00,60,36
775,0.00,67,47
776,0.00,77,44
777,0.00,79,63
778,0.06,68,48
779,0.29,51,40
780,0.00,57,44
781,0.02,65,48
782,0.00,63,45
783,0.00,57,42
784,0.06,50,32
785,0.00,56,35
786,0.00,71,48
787,0.00,55,44
788,0.38,62,42
789,0.00,53,40
790,0.00,56,37
791,0.00,73,49
792,0.02,79,61
793,0.47,45,29
794,0.00,43,26
795,0.00,48,30
796,0.09,58,48
797,0.01,50,40
798,0.01,65,43
799,0.20,59,45
800,0.00,58,40
801,0.00,62,43
802,0.00,65,42
803,0.00,82,51
804,0.00,73,55
805,0.00,69,49
806,0.00,73,49
807,0.00,79,62
808,0.00,69,50
809,0.24,60,47
810,0.00,62,46
811,0.00,59,48
812,0.05,58,45
813,0.04,60,45
814,0.61,56,51
815,0.01,52,48
816,0.00,57,46
817,0.54,54,48
818,0.00,72,52
819,0.00,63,50
