73271:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-13","6.49",,,,,"0.00","0.0","2.0",,,,,,,,,,
73272:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-14","5.59",,,,,"0.81","0.0","1.2",,"    1",,,,,,,,
73273:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-15","11.41",,,,,"0.00","0.0","0.0",,,,,,,,,,
73274:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-16","3.80",,,,,"0.00","0.0","0.0",,,,,,,,,,
73275:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-17","9.62",,,,,"0.02","0.0","0.0",,,,,,,,"    1",,
73276:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-18","9.62",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73277:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-19","5.82",,,,,"0.00","0.0","0.0",,,,,,,,,,
73278:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-20","7.83",,,,,"0.40","4.5","0.0",,"    1","    1",,,,,"    1",,
73279:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-21","5.37",,,,,"0.00","0.0","5.1",,"    1",,,,,,"    1",,
73280:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-22","7.61",,,,,"0.00","0.0","0.0",,,,,,,,,,
73281:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-23","6.71",,,,,"0.00","0.0","0.0",,,,,,,,,,
73282:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-24","4.03",,,,,"0.00","0.0","0.0",,,,,,,,,,
73283:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-25","4.47",,,,,"0.05","0.0","0.0",,"    1",,,,,,"    1",,
73284:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-26","2.91",,,,,"0.32","0.0","0.0",,"    1",,,,,,"    1",,
73285:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-27","4.25",,,,,"0.27","0.0","0.0",,"    1",,,,,,,,
73286:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-28","7.61",,,,,"0.00","0.0","0.0",,,,,,,,"    1",,
73287:"USW00094728","NY CITY CENTRAL PARK, NY US","2015-03-29","6.26",,,,,"0.00","0.0","0.0",,,,,,,,,,
